CustomerID,Recency,Frequency,Monetary,CustLocation
C1017164,63,1,360.0,DELHI
C1017238,277,1,260.0,DELHI
C1017289,123,1,1492.0,DELHI
C1017357,116,1,1003.0,DELHI
C1017461,113,1,1254.0,DELHI
C1017474,185,1,1299.0,DELHI
C1017551,103,2,2686.0,DELHI
C1017573,105,2,136.0,DELHI
C1017590,2,4,885.0,DELHI
C1017590,2,4,885.0,DELHI
C1017650,86,2,500.0,DELHI
C1017652,92,2,2322.0,DELHI
C1017653,245,1,5290.0,DELHI
C1017657,102,3,2140.0,DELHI
C1017661,215,2,1794.0,DELHI
C1017672,337,1,35000.0,DELHI
C1017725,245,1,35.0,DELHI
C1017744,1,2,835.0,DELHI
C1017747,337,1,1198.0,DELHI
C1017755,102,2,200.0,DELHI
C1017761,115,1,750.0,DELHI
C1017774,2,2,409.0,DELHI
C1017782,88,1,37.0,DELHI
C1017822,110,1,81.0,DELHI
C1017834,305,1,50.0,DELHI
C1017859,116,2,687.0,DELHI
C1017877,62,1,1000.0,DELHI
C1017880,76,1,359.52,DELHI
C1017891,93,2,500.0,DELHI
C1017934,337,1,1070.0,DELHI
C1017939,87,1,195.0,DELHI
C1017955,215,2,1000.0,DELHI
C1017963,108,1,15.0,DELHI
C1018019,86,1,260.0,DELHI
C1018119,76,2,3375.5,DELHI
C1018226,113,1,1000.0,DELHI
C1018227,154,1,427.0,DELHI
C1018267,71,2,2000.0,DELHI
C1018274,75,2,351.6,DELHI
C1018330,103,1,348.0,DELHI
C1018370,63,2,197.0,DELHI
C1018468,246,1,200.0,DELHI
C1018476,75,1,1630.0,DELHI
C1018522,87,1,850.0,DELHI
C1018546,118,1,30.0,DELHI
C1018563,87,1,100.0,DELHI
C1018566,154,2,1069.0,DELHI
C1018581,123,1,500.0,DELHI
C1018840,154,1,138.0,DELHI
C1018847,246,1,29.57,DELHI
C1019036,277,1,500.0,DELHI
C1019049,112,1,50.0,DELHI
C1019052,103,1,5339.0,DELHI
C1019170,31,3,2026.0,DELHI
C1019218,119,4,1000.0,DELHI
C1019266,108,1,500.0,DELHI
C1019269,154,1,300.0,DELHI
C1019271,109,1,50.0,DELHI
C1019367,32,1,50.0,DELHI
C1019477,79,2,960.0,DELHI
C1019523,155,1,1000.0,DELHI
C1019644,62,1,39.99,DELHI
C1019684,215,1,700.0,DELHI
C1019725,79,2,1200.0,DELHI
C1019752,105,1,1115.04,DELHI
C1019758,124,1,259.0,DELHI
C1019826,216,1,420.0,DELHI
C1019858,102,3,3000.0,DELHI
C1019888,246,1,247.0,DELHI
C1020044,63,1,494.0,DELHI
C1020060,216,1,100.0,DELHI
C1020063,32,1,129.0,DELHI
C1020180,32,1,100.0,DELHI
C1020312,92,1,186.0,DELHI
C1020524,337,1,500.0,DELHI
C1020536,75,1,259.0,DELHI
C1020584,1,4,1000.0,DELHI
C1020589,155,1,225.0,DELHI
C1020612,112,1,4414.51,DELHI
C1020671,112,1,848.0,DELHI
C1020812,109,1,1722.0,DELHI
C1020820,118,1,1057.54,DELHI
C1020821,88,2,3740.0,DELHI
C1020916,83,2,149.0,DELHI
C1020975,246,2,2000.0,DELHI
C1020985,1,1,190.0,DELHI
C1021039,105,3,3748.0,DELHI
C1021050,115,1,10895.0,DELHI
C1021083,337,1,248.0,DELHI
C1021119,88,2,150.0,DELHI
C1021128,118,1,1795.0,DELHI
C1021146,117,2,2230.0,DELHI
C1021150,105,1,2500.0,DELHI
C1021240,101,1,50.0,DELHI
C1021245,215,1,1000.0,DELHI
C1021253,63,1,1000.0,DELHI
C1021272,124,1,411.0,DELHI
C1021346,75,2,500.0,DELHI
C1021413,101,1,295.0,DELHI
C1021428,62,2,900.0,DELHI
C1021558,117,1,32.0,DELHI
C1021572,76,1,10.0,DELHI
C1021589,1,3,1999.0,DELHI
C1021626,117,1,120.0,DELHI
C1021663,101,1,20.0,DELHI
C1021714,155,2,50.0,DELHI
C1021748,31,2,16000.0,DELHI
C1021759,104,2,100.0,DELHI
C1021854,117,1,159.0,DELHI
C1021914,32,1,60.0,DELHI
C1021932,108,1,1539.0,DELHI
C1021985,62,1,5040.0,DELHI
C1022044,124,1,500.0,DELHI
C1022058,124,1,211.0,DELHI
C1022121,216,1,2775.0,DELHI
