CustomerID,Recency,Frequency,Monetary,CustLocation
C1016087,32,2,3200.0,NEW DELHI
C1016177,31,2,2500.0,NEW DELHI
C1016218,111,2,372.0,NEW DELHI
C1016240,83,2,1998.0,NEW DELHI
C1016274,113,1,91.17,NEW DELHI
C1016288,185,1,26.35,NEW DELHI
C1016349,102,1,1000.0,NEW DELHI
C1016465,109,2,1016.0,NEW DELHI
C1016477,106,1,30.0,NEW DELHI
C1016520,154,1,310.0,NEW DELHI
C1016521,74,1,536.0,NEW DELHI
C1016525,107,2,6401.0,NEW DELHI
C1016536,216,1,1792.0,NEW DELHI
C1016548,276,1,500.0,NEW DELHI
C1016550,305,1,422.0,NEW DELHI
C1016587,336,1,500.0,NEW DELHI
C1016612,245,1,1058.0,NEW DELHI
C1016690,2,2,735.26,NEW DELHI
C1016720,277,1,10.0,NEW DELHI
C1016728,277,1,934.12,NEW DELHI
C1016765,63,2,98.0,NEW DELHI
C1016791,1,1,1330.0,NEW DELHI
C1016846,102,1,400.0,NEW DELHI
C1017129,102,1,200.0,NEW DELHI
C1017145,1,2,270.0,NEW DELHI
C1017211,110,1,2000.0,NEW DELHI
C1017226,155,1,39.0,NEW DELHI
C1017260,31,1,480.0,NEW DELHI
C1017280,112,1,853.0,NEW DELHI
C1017370,115,1,2766.0,NEW DELHI
C1017526,102,1,625.0,NEW DELHI
C1017554,111,1,1000.0,NEW DELHI
C1017718,306,1,823.0,NEW DELHI
C1017741,76,1,650.0,NEW DELHI
C1017831,93,1,100.0,NEW DELHI
C1017847,124,2,1150.0,NEW DELHI
C1017924,119,3,1326.0,NEW DELHI
C1017946,123,1,482.35,NEW DELHI
C1017981,2,1,2336.0,NEW DELHI
C1017992,119,1,500.0,NEW DELHI
C1018031,306,1,11.0,NEW DELHI
C1018046,112,1,1000.0,NEW DELHI
C1018077,246,1,100.0,NEW DELHI
C1018122,154,2,261.0,NEW DELHI
C1018122,154,2,261.0,NEW DELHI
C1018137,2,2,166.28,NEW DELHI
C1018141,1,1,147.0,NEW DELHI
C1018170,50,2,835.0,NEW DELHI
C1018215,185,1,4360.0,NEW DELHI
C1018230,106,1,243.0,NEW DELHI
C1018238,184,1,100.0,NEW DELHI
C1018243,105,1,254.0,NEW DELHI
C1018246,115,1,400.0,NEW DELHI
C1018271,306,1,2400.31,NEW DELHI
C1018272,276,1,746.01,NEW DELHI
C1018336,118,1,2833.59,NEW DELHI
C1018371,101,2,148.0,NEW DELHI
C1018385,104,2,1000.0,NEW DELHI
C1018386,246,1,1000.0,NEW DELHI
C1018439,336,1,304.0,NEW DELHI
C1018519,109,2,2800.0,NEW DELHI
C1018549,154,1,2030.0,NEW DELHI
C1018556,32,3,1350.0,NEW DELHI
C1018564,123,1,100.0,NEW DELHI
C1018619,93,1,680.0,NEW DELHI
C1018654,116,1,100.0,NEW DELHI
C1018752,119,2,2000.0,NEW DELHI
C1018765,1,1,50.0,NEW DELHI
C1018770,112,1,5476.0,NEW DELHI
C1018818,336,1,3590.0,NEW DELHI
C1018936,87,4,2311.75,NEW DELHI
C1019048,109,2,7854.0,NEW DELHI
C1019070,83,1,100.0,NEW DELHI
C1019090,185,1,500.0,NEW DELHI
C1019180,109,2,5000.0,NEW DELHI
C1019190,102,2,1259.0,NEW DELHI
C1019230,111,2,1000.0,NEW DELHI
C1019239,2,2,2096.0,NEW DELHI
C1019341,31,1,704.0,NEW DELHI
C1019481,1,2,4866.0,NEW DELHI
C1019519,105,2,250.0,NEW DELHI
C1019525,246,1,517.0,NEW DELHI
C1019571,106,2,1512.75,NEW DELHI
C1019572,103,1,460.0,NEW DELHI
C1019616,102,1,338.98,NEW DELHI
C1019618,185,1,545.0,NEW DELHI
C1019621,154,1,2688.75,NEW DELHI
C1019648,112,1,300.0,NEW DELHI
C1019649,105,1,180.0,NEW DELHI
C1019655,102,1,678.65,NEW DELHI
C1019657,103,1,799.0,NEW DELHI
C1019672,78,1,1300.0,NEW DELHI
C1019676,105,1,155.0,NEW DELHI
C1019711,184,1,5987.0,NEW DELHI
C1019725,79,2,1200.0,NEW DELHI
C1019742,306,2,570.0,NEW DELHI
C1019780,92,1,156.0,NEW DELHI
C1019791,63,1,249.0,NEW DELHI
C1019824,74,1,260.0,NEW DELHI
C1019832,62,3,503.0,NEW DELHI
C1019848,88,1,260.0,NEW DELHI
C1019858,102,3,3000.0,NEW DELHI
C1019862,106,2,1023.0,NEW DELHI
C1019918,113,1,46.0,NEW DELHI
C1019959,93,1,1908.0,NEW DELHI
C1019960,104,1,414.0,NEW DELHI
C1019988,107,1,600.0,NEW DELHI
C1020026,102,1,116.0,NEW DELHI
C1020048,246,1,45.0,NEW DELHI
C1020049,62,2,2200.0,NEW DELHI
C1020053,86,1,8750.0,NEW DELHI
C1020057,106,2,10000.0,NEW DELHI
C1020088,110,1,2585.0,NEW DELHI
C1020090,1,2,1000.0,NEW DELHI
C1020265,337,1,100.0,NEW DELHI
C1020330,109,1,210.0,NEW DELHI
C1020365,155,1,885.0,NEW DELHI
C1020411,31,1,500.0,NEW DELHI
C1020427,2,1,165.0,NEW DELHI
C1020540,276,1,408.0,NEW DELHI
C1020563,336,1,858.0,NEW DELHI
C1020574,76,2,100.0,NEW DELHI
C1020618,336,1,49.0,NEW DELHI
C1020633,245,1,65800.0,NEW DELHI
C1020683,88,1,1250.0,NEW DELHI
C1020719,93,2,1540.79,NEW DELHI
C1020757,63,2,500.0,NEW DELHI
C1020768,31,2,57.91,NEW DELHI
C1020821,88,2,3740.0,NEW DELHI
C1020864,113,1,306.0,NEW DELHI
C1020926,246,1,232.0,NEW DELHI
C1020934,215,1,100.0,NEW DELHI
C1020951,111,1,225.0,NEW DELHI
C1020987,123,1,1702.0,NEW DELHI
C1021011,92,3,500.0,NEW DELHI
C1021121,155,1,1341.0,NEW DELHI
C1021142,337,1,355.0,NEW DELHI
C1021225,277,1,700.0,NEW DELHI
C1021328,154,1,600.0,NEW DELHI
C1021360,113,1,100.0,NEW DELHI
C1021363,1,1,1394.28,NEW DELHI
C1021367,31,1,1001.0,NEW DELHI
C1021370,115,2,681.98,NEW DELHI
C1021391,86,1,1000.0,NEW DELHI
C1021414,113,2,35608.6,NEW DELHI
C1021417,337,1,50.0,NEW DELHI
C1021421,336,1,1523.0,NEW DELHI
C1021433,112,1,2943.0,NEW DELHI
C1021485,124,1,50.0,NEW DELHI
C1021589,1,3,1999.0,NEW DELHI
