CustomerID,Recency,Frequency,Monetary,CustLocation
C1017488,246,1,301.0,GURGAON
C1017571,246,1,400.0,GURGAON
C1017576,1,3,2997.0,GURGAON
C1017625,119,2,1600.0,GURGAON
C1017635,108,1,400.0,GURGAON
C1017645,86,2,8495.0,GURGAON
C1017678,215,1,1411.0,GURGAON
C1017686,154,2,99.0,GURGAON
C1017686,154,2,99.0,GURGAON
C1017723,1,1,620.0,GURGAON
C1017728,124,2,640.0,GURGAON
C1017729,31,2,464.0,GURGAON
C1017743,93,1,151.0,GURGAON
C1017774,2,2,409.0,GURGAON
C1017816,119,1,930.0,GURGAON
C1017841,306,1,249.0,GURGAON
C1017844,113,2,4828.0,GURGAON
C1017844,113,2,4828.0,GURGAON
C1017876,63,1,1500.0,GURGAON
C1017884,155,1,3680.0,GURGAON
C1017912,215,1,190.0,GURGAON
C1017924,119,3,1326.0,GURGAON
C1017974,75,1,403.0,GURGAON
C1018037,101,1,1050.0,GURGAON
C1018075,105,1,477.11,GURGAON
C1018084,1,1,255.0,GURGAON
C1018174,184,1,500.0,GURGAON
C1018462,215,1,199.0,GURGAON
C1018578,1,1,243.0,GURGAON
C1018644,116,1,279.0,GURGAON
C1018725,112,1,647.0,GURGAON
C1018863,215,1,19.0,GURGAON
C1018914,62,2,2000.0,GURGAON
C1018939,87,2,492.0,GURGAON
C1019014,108,1,200.0,GURGAON
C1019020,88,1,49.0,GURGAON
C1019033,154,1,87.0,GURGAON
C1019048,109,2,7854.0,GURGAON
C1019051,112,1,4230.0,GURGAON
C1019082,110,1,96.0,GURGAON
C1019170,31,3,2026.0,GURGAON
C1019170,31,3,2026.0,GURGAON
C1019233,116,2,255.0,GURGAON
C1019322,106,2,370.0,GURGAON
C1019323,87,1,600.0,GURGAON
C1019337,105,1,3159.0,GURGAON
C1019374,31,2,1320.0,GURGAON
C1019462,31,1,2048.0,GURGAON
C1019473,185,1,1150.0,GURGAON
C1019477,79,2,960.0,GURGAON
C1019633,31,1,100.0,GURGAON
C1019819,119,1,1699.0,GURGAON
C1019832,62,3,503.0,GURGAON
C1019862,106,2,1023.0,GURGAON
C1019951,245,1,1299.0,GURGAON
C1020015,74,3,500.0,GURGAON
C1020061,93,1,162.0,GURGAON
C1020066,63,1,740.0,GURGAON
C1020068,124,1,1259.3,GURGAON
C1020123,111,1,103.17,GURGAON
C1020149,276,1,707.0,GURGAON
C1020174,62,2,100.0,GURGAON
C1020185,119,1,55.0,GURGAON
C1020227,109,1,7350.0,GURGAON
C1020345,155,1,55.0,GURGAON
C1020350,87,2,3009.0,GURGAON
C1020383,50,2,179.0,GURGAON
C1020387,184,1,310.0,GURGAON
C1020421,87,1,630.0,GURGAON
C1020535,185,1,317.0,GURGAON
C1020568,62,1,180.0,GURGAON
C1020573,92,2,50000.0,GURGAON
C1020574,76,2,100.0,GURGAON
C1020584,1,4,1000.0,GURGAON
C1020623,119,1,714.0,GURGAON
C1020635,105,1,8250.0,GURGAON
C1020657,107,1,340.0,GURGAON
C1020691,31,1,606.9,GURGAON
C1020692,111,1,460.0,GURGAON
C1020726,112,1,100.0,GURGAON
C1020757,63,2,500.0,GURGAON
C1020771,83,2,552.0,GURGAON
C1020840,337,1,648.0,GURGAON
C1021130,154,1,581.0,GURGAON
C1021139,215,1,115.0,GURGAON
C1021183,92,2,500.0,GURGAON
C1021276,114,2,950.0,GURGAON
C1021374,110,1,150.0,GURGAON
C1021431,119,1,10168.0,GURGAON
C1021453,92,1,9000.0,GURGAON
C1021471,101,3,2000.0,GURGAON
C1021539,337,1,132.0,GURGAON
C1021575,31,1,400.0,GURGAON
C1021717,109,1,49.0,GURGAON
C1021775,2,1,30.0,GURGAON
C1021870,337,1,3440.0,GURGAON
C1021877,336,1,891.0,GURGAON
C1021920,119,3,1678.0,GURGAON
C1021945,102,1,5399.0,GURGAON
C1021947,112,1,94.0,GURGAON
C1021962,113,1,500.0,GURGAON
C1021970,115,1,400.0,GURGAON
C1021971,75,2,210.0,GURGAON
C1021974,114,1,61.0,GURGAON
C1021982,112,2,300.0,GURGAON
C1022159,86,1,280.0,GURGAON
C1022367,118,1,3736.54,GURGAON
C1022420,113,1,2650.0,GURGAON
C1022424,32,1,1113.0,GURGAON
C1022433,109,2,2171.0,GURGAON
C1022433,109,2,2171.0,GURGAON
C1022439,31,1,1574.0,GURGAON
C1022450,116,1,1154.0,GURGAON
C1022513,79,1,71.88,GURGAON
C1022528,106,1,20.0,GURGAON
C1022642,118,1,518.0,GURGAON
C1022657,92,1,1200.0,GURGAON
C1022740,92,1,250.0,GURGAON
C1022820,117,2,256.67,GURGAON
C1022959,83,2,1677.0,GURGAON
C1022970,185,1,1270.0,GURGAON
C1022980,31,1,750.0,GURGAON
C1023029,88,1,1512.75,GURGAON
C1023045,117,2,20000.0,GURGAON
C1023090,63,3,500.0,GURGAON
C1023143,216,1,2046.0,GURGAON
C1023144,117,1,9999.0,GURGAON
C1023177,124,1,220.0,GURGAON
C1023186,155,1,202.0,GURGAON
C1023218,185,1,420.0,GURGAON
C1023241,277,1,660.0,GURGAON
C1023255,246,1,523.0,GURGAON
C1023277,215,1,100.0,GURGAON
C1023280,79,2,1050.0,GURGAON
C1023313,276,1,565.0,GURGAON
C1023339,110,2,2000.0,GURGAON
C1023368,87,1,150.0,GURGAON
C1023427,79,1,500.0,GURGAON
C1023492,101,1,750.0,GURGAON
C1023535,76,1,499.0,GURGAON
C1023574,83,1,660.0,GURGAON
C1023579,32,1,85.0,GURGAON
C1023582,245,1,2697.0,GURGAON
C1023590,112,2,550.0,GURGAON
C1023669,103,1,574.0,GURGAON
C1023718,112,1,792.0,GURGAON
C1023723,78,1,915.0,GURGAON
C1023729,154,1,1714.62,GURGAON
C1023740,276,1,245.0,GURGAON
C1023830,93,1,620.0,GURGAON
C1023832,104,2,1000.0,GURGAON
C1023852,116,2,2600.0,GURGAON
C1023864,83,2,180.0,GURGAON
C1023926,111,1,2692.0,GURGAON
C1023970,102,1,117.0,GURGAON
C1024013,114,2,1000.0,GURGAON
C1024020,102,1,3430.89,GURGAON
C1024027,93,2,40000.0,GURGAON
C1024077,276,1,1197.0,GURGAON
C1024150,112,2,997.0,GURGAON
C1024234,114,1,50.0,GURGAON
C1024245,117,1,700.0,GURGAON
C1024265,88,2,1000.0,GURGAON
C1024265,88,2,1000.0,GURGAON
C1024284,306,1,130.0,GURGAON
C1024443,112,1,370.0,GURGAON
C1024463,116,1,210.0,GURGAON
C1024464,106,1,1800.0,GURGAON
C1024491,155,2,3528.0,GURGAON
C1024522,185,1,500.0,GURGAON
C1024541,103,1,1000.0,GURGAON
C1024551,110,2,1000.0,GURGAON
