CustomerID,Recency,Frequency,Monetary,CustLocation
C1017123,79,2,222.0,BANGALORE
C1017165,337,1,1199.0,BANGALORE
C1017223,118,3,11999.0,BANGALORE
C1017274,117,1,3277.12,BANGALORE
C1017421,101,1,299.0,BANGALORE
C1017470,87,1,225.0,BANGALORE
C1017612,276,1,300.0,BANGALORE
C1017691,246,1,166.0,BANGALORE
C1017758,154,2,510.0,BANGALORE
C1017848,119,1,1000.0,BANGALORE
C1017849,115,1,399.0,BANGALORE
C1017855,111,2,329.0,BANGALORE
C1017860,31,1,492.0,BANGALORE
C1017927,101,1,126.0,BANGALORE
C1017991,124,1,539.0,BANGALORE
C1018081,2,3,2848.44,BANGALORE
C1018091,105,1,20.0,BANGALORE
C1018187,124,1,5000.0,BANGALORE
C1018220,117,1,46.0,BANGALORE
C1018239,123,1,26.0,BANGALORE
C1018264,74,2,1400.0,BANGALORE
C1018329,154,1,457.0,BANGALORE
C1018365,305,1,500.0,BANGALORE
C1018384,2,1,34.0,BANGALORE
C1018473,104,2,196.26,BANGALORE
C1018484,79,1,105.07,BANGALORE
C1018488,111,1,1400.0,BANGALORE
C1018518,102,1,743.0,BANGALORE
C1018519,109,2,2800.0,BANGALORE
C1018582,184,2,1379.0,BANGALORE
C1018616,306,1,2737.0,BANGALORE
C1018767,246,1,437.0,BANGALORE
C1018774,305,1,571.17,BANGALORE
C1018815,306,1,133.0,BANGALORE
C1018841,32,1,133.0,BANGALORE
C1018842,123,2,4310.0,BANGALORE
C1018850,31,2,576.0,BANGALORE
C1018855,115,1,50.0,BANGALORE
C1018858,117,1,250.0,BANGALORE
C1018880,123,1,249.0,BANGALORE
C1018912,110,2,2700.0,BANGALORE
C1019011,62,1,1000.0,BANGALORE
C1019046,118,2,2454.86,BANGALORE
C1019114,118,1,1895.0,BANGALORE
C1019218,119,4,1000.0,BANGALORE
C1019225,276,1,100.0,BANGALORE
C1019265,31,1,400.0,BANGALORE
C1019287,92,2,154.0,BANGALORE
C1019348,32,2,19800.0,BANGALORE
C1019362,2,3,1800.0,BANGALORE
C1019422,116,2,48.0,BANGALORE
C1019481,1,2,4866.0,BANGALORE
C1019482,245,1,1568.0,BANGALORE
C1019527,111,1,196.0,BANGALORE
C1019544,86,1,470.0,BANGALORE
C1019739,31,1,1350.0,BANGALORE
C1019789,110,1,454.0,BANGALORE
C1019822,63,2,1000.0,BANGALORE
C1019855,117,1,1133.0,BANGALORE
C1019871,337,1,45.0,BANGALORE
C1019934,305,1,2435.0,BANGALORE
C1020057,106,2,10000.0,BANGALORE
C1020059,276,1,400.0,BANGALORE
C1020080,154,1,300.0,BANGALORE
C1020090,1,2,1000.0,BANGALORE
C1020125,111,1,254.0,BANGALORE
C1020133,154,1,100.0,BANGALORE
C1020141,112,2,550.0,BANGALORE
C1020141,112,2,550.0,BANGALORE
C1020167,92,1,867.0,BANGALORE
C1020174,62,2,100.0,BANGALORE
C1020231,119,1,625.0,BANGALORE
C1020236,116,2,200.0,BANGALORE
C1020326,1,1,720.0,BANGALORE
C1020359,336,1,486.39,BANGALORE
C1020431,101,2,3612.0,BANGALORE
C1020433,88,1,93.0,BANGALORE
C1020436,109,2,150.0,BANGALORE
C1020438,155,1,100.0,BANGALORE
C1020440,79,2,150.0,BANGALORE
C1020445,31,3,3200.0,BANGALORE
C1020515,246,1,500.0,BANGALORE
C1020543,155,1,40.0,BANGALORE
C1020565,155,1,126.0,BANGALORE
C1020663,32,1,359.0,BANGALORE
C1020676,110,1,503.0,BANGALORE
C1020680,75,1,918.0,BANGALORE
C1020776,86,2,3600.0,BANGALORE
C1020778,1,2,2104.0,BANGALORE
C1020819,93,1,773.0,BANGALORE
C1020871,123,1,1200.0,BANGALORE
C1020886,104,2,6455.0,BANGALORE
C1021011,92,3,500.0,BANGALORE
C1021165,1,1,50.0,BANGALORE
C1021188,93,3,629.0,BANGALORE
C1021219,119,1,23.0,BANGALORE
C1021227,1,2,69.0,BANGALORE
C1021285,124,1,2599.0,BANGALORE
C1021416,277,1,962.0,BANGALORE
C1021434,113,1,1693.0,BANGALORE
C1021616,106,2,840.0,BANGALORE
C1021627,63,2,378.0,BANGALORE
C1021630,101,3,1294.27,BANGALORE
C1021642,103,2,578.4,BANGALORE
C1021681,114,1,89.0,BANGALORE
C1021873,337,1,350.0,BANGALORE
C1021920,119,3,1678.0,BANGALORE
C1021922,117,1,124.0,BANGALORE
C1021934,123,1,200.0,BANGALORE
C1021987,74,1,554.05,BANGALORE
C1021990,1,3,676.0,BANGALORE
C1022038,119,2,500.0,BANGALORE
C1022068,215,2,1300.0,BANGALORE
C1022079,123,1,194.0,BANGALORE
C1022212,104,1,454.0,BANGALORE
C1022285,2,1,624.0,BANGALORE
C1022315,101,1,464.0,BANGALORE
C1022365,110,1,145.0,BANGALORE
C1022443,32,1,256.0,BANGALORE
C1022477,110,1,496.9,BANGALORE
C1022548,124,1,6.0,BANGALORE
C1022588,118,4,12518.0,BANGALORE
C1022617,115,1,750.0,BANGALORE
C1022626,112,1,510.0,BANGALORE
C1022630,118,2,1999.0,BANGALORE
C1022681,103,2,680.52,BANGALORE
C1022683,276,1,420.0,BANGALORE
C1022714,50,1,68.0,BANGALORE
C1022742,215,1,25.0,BANGALORE
C1022770,119,1,140.0,BANGALORE
C1022789,114,1,30.0,BANGALORE
C1022825,2,2,7138.19,BANGALORE
C1022856,86,1,589.0,BANGALORE
C1022885,154,1,140.0,BANGALORE
C1022961,92,3,2996.0,BANGALORE
C1022975,75,2,783.9,BANGALORE
C1022991,115,3,1764.72,BANGALORE
C1023019,1,1,961.0,BANGALORE
C1023032,337,1,642.0,BANGALORE
C1023071,62,1,340.0,BANGALORE
C1023217,62,3,1999.0,BANGALORE
C1023232,92,2,519.0,BANGALORE
C1023265,154,1,1549.5,BANGALORE
C1023291,101,2,59.0,BANGALORE
C1023320,108,1,1023.0,BANGALORE
C1023326,116,1,200.0,BANGALORE
C1023333,32,1,1153.65,BANGALORE
C1023418,71,2,448.0,BANGALORE
C1023459,2,2,250.0,BANGALORE
C1023468,113,1,200.0,BANGALORE
C1023554,106,2,300.0,BANGALORE
C1023558,32,3,301.0,BANGALORE
C1023615,277,1,100.0,BANGALORE
C1023639,78,2,350.0,BANGALORE
C1023767,337,1,120.0,BANGALORE
C1023813,155,1,118.09,BANGALORE
C1023818,104,2,331.0,BANGALORE
C1023827,155,1,250.0,BANGALORE
C1023923,92,1,21017.1,BANGALORE
C1023947,215,1,27.0,BANGALORE
C1023948,306,1,115.0,BANGALORE
C1023964,104,3,596.86,BANGALORE
C1024023,106,1,445.0,BANGALORE
C1024057,245,1,741.0,BANGALORE
C1024063,185,1,300.0,BANGALORE
C1024076,93,1,3060.0,BANGALORE
C1024087,102,1,398.81,BANGALORE
C1024123,102,2,2757.87,BANGALORE
C1024126,119,2,1000.0,BANGALORE
C1024133,215,1,200.0,BANGALORE
C1024172,32,2,181.0,BANGALORE
C1024220,111,1,836.0,BANGALORE
C1024240,336,1,170.0,BANGALORE
C1024261,93,1,5250.0,BANGALORE
C1024315,1,1,450.0,BANGALORE
C1024320,108,1,78.0,BANGALORE
C1024341,108,1,1263.14,BANGALORE
C1024371,124,1,175.0,BANGALORE
C1024435,92,1,13078.0,BANGALORE
C1024449,109,2,13778.0,BANGALORE
C1024529,86,1,150.0,BANGALORE
C1024545,105,2,387.0,BANGALORE
C1024552,32,1,1092.63,BANGALORE
C1024581,118,1,2095.0,BANGALORE
C1024612,185,1,227.4,BANGALORE
C1024615,117,2,500.0,BANGALORE
C1024640,114,2,255.0,BANGALORE
C1024641,116,1,168.0,BANGALORE
C1024650,32,1,155.0,BANGALORE
C1024658,123,1,465.0,BANGALORE
